element  Z mass    fs    fr  fall     Ns     Nr   Nall
     Ir 77  191 0.625 0.371 0.374  0.005  0.241  0.246
     Ir 77  193 0.375 0.629 0.626  0.003  0.408  0.411
     Pt 78  192 0.141 0.000 0.007  0.010  0.000  0.010
     Pt 78  194 0.282 0.332 0.329  0.020  0.431  0.451
     Pt 78  195 0.085 0.352 0.338  0.006  0.457  0.463
     Pt 78  196 0.493 0.240 0.253  0.035  0.312  0.347
     Pt 78  198 0.000 0.076 0.072  0.000  0.099  0.099
     Au 79  197 1.000 1.000 1.000  0.010  0.176  0.186
     Hg 80  198 0.174 0.000 0.101  0.035  0.000  0.035
     Hg 80  199 0.080 0.295 0.170  0.016  0.043  0.059
     Hg 80  200 0.254 0.205 0.233  0.051  0.030  0.081
     Hg 80  201 0.100 0.185 0.135  0.020  0.027  0.047
     Hg 80  202 0.393 0.178 0.303  0.079  0.026  0.105
     Hg 80  204 0.000 0.137 0.058  0.000  0.020  0.020
     Tl 81  203 0.412 0.226 0.348  0.042  0.012  0.054
     Tl 81  205 0.588 0.774 0.652  0.060  0.041  0.101
     Pb 82  204 0.025 0.000 0.020  0.057  0.000  0.057
     Pb 82  206 0.143 0.359 0.189  0.326  0.223  0.549
     Pb 82  207 0.137 0.451 0.204  0.313  0.280  0.593
     Pb 82  208 0.695 0.190 0.587  1.587  0.118  1.705
     Bi 83  209 1.000 1.000 1.000  0.051  0.093  0.144
     Th 90  232   nan 1.000 1.000  0.000  0.042  0.042
      U 92  235   nan 0.231 0.231  0.000  0.006  0.006
      U 92  238   nan 0.769 0.769  0.000  0.020  0.020
